from,to ,weight,ranking,country,year,type,oscar,globe
brokeback,lca,5,2,US,1975,a,,
brokeback,gsc,5,2,SA,1951,c,2,1
brokeback,rrpc,5,2,US,1987,pc,,
muenchen,ffdc,5,2,US,2002,dc,,
muenchen,ssd1,4,2,US,1946,d,3,2
muenchen,ssp1,4,2,US,1946,p,3,2
muenchen,gjs,4,2,EU,1935,s,,
muenchen,eba,4,2,AU,1968,a,,
muenchen,cda,4,2,EU,1968,a,,
muenchen,cha,4,2,EU,1953,a,,
muenchen,jwc,4,2,US,1932,c,5,4
muenchen,uppc,4,2,US,1912,pc,,
muenchen,dppc,4,2,US,1994,pc,,
social,ugdc,4,2,EU,1981,dc,,
social,dfd,3,2,US,1962,d,3,1
social,dbp,3,2,US,1973,p,,
social,ass,3,2,US,1961,s,1,3
social,jea,3,2,US,1983,a,,
social,jta,3,2,US,1981,a,,
social,aga,3,2,US,1983,a,,1
social,trc,3,2,US,1965,c,2,1
social,cppc,3,2,US,1919,pc,,
social,srpc,3,2,US,1980,pc,,
social,tspc,3,2,US,1997,pc,,
social,rmpc,3,2,US,2004,pc,,
tree,spdc,3,2,US,1991,dc,,
tree,tmd,2,2,US,1943,d,,
tree,skp,2,2,US,1942,p,,
tree,tms,2,2,US,1943,s,1,3
tree,bpa,2,2,US,1963,a,2,2
tree,jca,2,2,US,1977,a,1,1
tree,spa,2,2,US,1960,a,2,1
tree,adc,2,2,EU,1961,c,2,2
tree,pbpc,2,2,US,2001,pc,,
tree,rrpc,2,2,US,1987,pc,,
country,cfdc,2,2,EU,1980,dc,,
country,jcd1,1,2,US,1954,d,4,1
country,srp,1,2,US,1958,p,1,
country,jcs1,1,2,US,1954,s,4,1
country,tja,1,2,US,1946,a,1,1
country,jba2,1,2,EU,1969,a,1,1
country,jba1,1,2,US,1968,a,1,
country,cbc1,1,2,US,1954,c,2,
country,mfpc1,1,2,US,1979,pc,,
country,srpc,1,2,US,1980,pc,,
country,pcpc,1,2,US,1998,pc,,
,ugdc,1,2,EU,1981,dc,,
