id,name,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
msa,Michael Stuhlbarg,a,m,,,,1968,,,,,,,,,,,,,,0,0,,US
msd,Martin Scorsese,d,m,,,,1942,,,,,,,,,,,,,,1,3,,US
mspc,Marvel Studios,pc,d,,,,1993,,,,,,,,,,,,,,,,,US
mta,Miles Teller,a,m,,,,1987,,,,,,,,,,,,,,0,0,,US
mta1,Marisa Tomei,a,f,,,,1964,,,,,,,,,,,,,,1,,,US
muenchen,Muenchen,m,d,2,,17,2006,ssd1,ssp1,gjs,eba,cda,cha,jwc,uppc,dppc,,,ugdc,"0,131",0,0,drama,US
mwa,Michael Wittenborn,a,m,,,,1953,,,,,,,,,,,,,,0,0,,EU
mwp,Max Wiedemann,p,m,,,,1977,,,,,,,,,,,,,,1,1,,EU
mypc,M.Y.R.A. Entertainment,pc,d,,,,2007,,,,,,,,,,,,,,,,,US
mzpc,Mike Zoss Productions,pc,d,,,,1985,,,,,,,,,,,,,,,,,US
nad,Niels Arden Oplev,d,m,,,,1961,,,,,,,,,,,,,,0,0,,EU
name,Call me by your name,m,d,2,,8,2017,lgd,psp,jis,aha2,tca,msa,ssc,ffpc,lcpc,rtpc,mypc,spdc,"0,419",1,0,drama,EU
nbc,Nicholas Britell,c,m,,,,1980,,,,,,,,,,,,,,0,0,,US
nfdc,NFP,dc,d,,,,1956,,,,,,,,,,,,,,,,,EU
nfpc,Nordisk Film,pc,d,,,,1906,,,,,,,,,,,,,,,,,EU
ngp,Nicole Paradis Grindle,p,f,,,,1986,,,,,,,,,,,,,,0,0,,US
npa,Noomi Rapace,a,m,,,,1979,,,,,,,,,,,,,,0,0,,EU
ofpc,Original Film,pc,d,,,,1990,,,,,,,,,,,,,,,,,US
orpc,OneRace Films,pc,d,,,,1995,,,,,,,,,,,,,,,,,US
panther,Black Panther,m,d,1,12,,2018,rcd,kfp,rcs,cba,mja,lna,lgc,mspc,,,,wddc,"1,348",3,,action,US
pbpc,Plan B,pc,d,,,,2001,,,,,,,,,,,,,,,,,US
pcpc,Paramount Classics,pc,d,,,,1998,,,,,,,,,,,,,,,,,US
pdd,Pete Docter,d,m,,,,1968,,,,,,,,,,,,,,3,0,,US
pdp,Peter Del Vecho,p,m,,,,1966,,,,,,,,,,,,,,1,0,,US
pds,Pete Docter,s,m,,,,1968,,,,,,,,,,,,,,1,2,,US
poa,Patton Oswalt,a,m,,,,1969,,,,,,,,,,,,,,0,0,,US
potter,Harry Potter and the Deathly Hallows – Part 2,m,d,1,13,,2011,dyd,dhp1,sks,dra1,rga,ewa,adc,wbpc,hfpc,,,wbdc,"1,342",,,fantasy,EU
ppc,Pixar animation studios,pc,d,,,,1953,,,,,,,,,,,,,,,,,US
ppdc,Paramount Pictures,dc,d,,,,1912,,,,,,,,,,,,,,,,,US
pppc,Paramount Pictures,pc,d,,,,1912,,,,,,,,,,,,,,,,,US
pppc1,Protozoa Pictures,pc,d,,,,1997,,,,,,,,,,,,,,,,,US
psa,Peter Simonischeck,a,m,,,,1946,,,,,,,,,,,,,,0,0,,EU
psp,Peter Spears,p,m,,,,1965,,,,,,,,,,,,,,1,0,,US
pvc,Patrick Veigel,c,m,,,,1976,,,,,,,,,,,,,,0,0,,EU
pwa,Paul Walker,a,m,,,,1973,,,,,,,,,,,,,,0,0,,US
pwpc,Perfect World Pictures,pc,d,,,,2008,,,,,,,,,,,,,,,,,A
ratatouille,Ratatouille,m,d,2,,9,2007,bbd,blp,bbs,bga,lra,poa,mgc,ppc,wdpc,,,bvdc,"0,623",1,1,comedy,US
rcd,Ryan Coogler,d,m,,,,1986,,,,,,,,,,,,,,,,,US
rcs,Ryan Coogler,s,m,,,,1986,,,,,,,,,,,,,,,,,US
rda,Robert Downey Jr.,a,m,,,,1965,,,,,,,,,,,,,,0,3,,US
rga,Rupert Grint,a,m,,,,1988,,,,,,,,,,,,,,,,,EU
rjd,Rian Johnson,d,m,,,,1973,,,,,,,,,,,,,,,,,US
rjs,Rian Johnson,s,m,,,,1973,,,,,,,,,,,,,,,,,US
rka,Richard Kind,a,f,,,,1956,,,,,,,,,,,,,,0,0,,US
rmpc,Relativity Media,pc,d,,,,2004,,,,,,,,,,,,,,,,,US
rrpc,River Road Entertainment,pc,d,,,,1987,,,,,,,,,,,,,,,,,US
rsa,Rafe Spall,a,m,,,,1983,,,,,,,,,,,,,,,,,EU
rss,Robert Siegel,s,m,,,,1971,,,,,,,,,,,,,,,,,US
rtpc,RT Features,pc,d,,,,2005,,,,,,,,,,,,,,,,,SA
sba,Sandra Bullock,a,f,,,,1964,,,,,,,,,,,,,,1,1,,US
