from,to,weight,ranking,country,year,type,oscar,globe
hugo,msd,7,2,US,1942,d,1,3
hugo,gkp,7,2,EU,1961,p,1,0
hugo,jls1,7,2,US,1961,s,0,0
hugo,bka,7,2,EU,1943,a,1,0
hugo,sca1,7,2,EU,1971,a,0,2
hugo,aba,7,2,EU,1997,a,0,0
hugo,hsc,7,2,CA,1946,c,3,3
hugo,gkpc,7,2,US,2007,pc,0,0
hugo,inpc,7,2,US,2004,pc,0,0
descendants,pppp,7,2,US,1912,dc,0,0
descendants,apd,6,2,US,1961,d,2,2
descendants,jbp1,6,2,US,1957,p,1,0
descendants,aps,6,2,US,1961,s,2,2
descendants,gca,6,2,US,1961,a,2,4
descendants,swa2,6,2,US,1991,a,0,0
descendants,bba,6,2,US,1941,a,0,2
descendants,cac,6,2,EU,1959,c,0,1
descendants,ahpc,6,2,,,pc,0,0
brokeback,fsdc,6,2,US,1994,dc,0,0
brokeback,ald,5,2,A,1954,d,2,2
brokeback,dop,5,2,US,1949,p,1,1
brokeback,lms,5,2,US,1936,s,1,1
brokeback,hla,5,2,AU,1979,a,1,1
brokeback,jga,5,2,US,1980,a,0,0
brokeback,lca,5,2,US,1975,a,0,0
brokeback,gsc,5,2,SA,1951,c,2,1
brokeback,rrpc,5,2,US,1987,pc,0,0
muenchen,ffdc,5,2,US,2002,dc,0,0
muenchen,ssd1,4,2,US,1946,d,3,2
muenchen,ssp1,4,2,US,1946,p,3,2
muenchen,gjs,4,2,EU,1935,s,0,0
muenchen,eba,4,2,AU,1968,a,0,0
muenchen,cda,4,2,EU,1968,a,0,0
muenchen,cha,4,2,EU,1953,a,0,0
muenchen,jwc,4,2,US,1932,c,5,4
muenchen,uppp,4,2,US,1912,pc,0,0
muenchen,dppc,4,2,US,1994,pc,0,0
social,ugdc,4,2,EU,1981,dc,0,0
social,dfd,3,2,US,1962,d,3,1
social,dbp,3,2,US,1973,p,0,0
social,ass,3,2,US,1961,s,1,3
social,jea,3,2,US,1983,a,0,0
social,jta,3,2,US,1981,a,0,0
social,aga,3,2,US,1983,a,0,1
social,trc,3,2,US,1965,c,2,1
social,cppc,3,2,US,1919,pc,0,0
social,srpc,3,2,US,1980,pc,0,0
social,tspc,3,2,US,1997,pc,0,0
social,rmpc,3,2,US,2004,pc,0,0
tree,spdc,3,2,US,1991,dc,0,0
tree,tmd,2,2,US,1943,d,0,0
tree,skp,2,2,US,1942,p,0,0
tree,tms,2,2,US,1943,s,1,3
tree,bpa,2,2,US,1963,a,2,2
tree,jca,2,2,US,1977,a,1,1
tree,spa,2,2,US,1960,a,2,1
tree,adc,2,2,EU,1961,c,2,2
tree,pbpc,2,2,US,2001,pc,0,0
tree,rrpc,2,2,US,1987,pc,0,0
country,cfdc,2,2,EU,1980,dc,0,0
country,jc1,1,2,US,1954,d,4,1
country,srp,1,2,US,1958,p,1,0
country,jc1,1,2,US,1954,s,4,1
country,tja,1,2,US,1946,a,1,1
country,jba2,1,2,EU,1969,a,1,1
country,jba1,1,2,US,1968,a,1,0
country,cbc1,1,2,US,1954,c,2,0
country,mfpc1,1,2,US,1979,pc,0,0
country,srpc,1,2,US,1980,pc,0,0
country,pcpc,1,2,US,1998,pc,0,0
country,ugdc,1,2,EU,1981,dc,0,0
